n,Insertion Sort_time,Merge Sort_time,Insertion Sort_mem,Merge Sort_mem
100,0.0008559666675864719,0.0007205333337575818,32,1792
500,0.007963933331969505,0.0025416666673360546,0,8456
1000,0.03914899999896685,0.00561066666705301,0,17128
2000,0.16503133333389997,0.01369896666680385,0,33960
